activity_code,main_asset_category,main_asset_subcategory,main_asset_unit_type,main_asset_unit_count,asset_type,asset_category,asset_subcategory,asset_coverage_code,asset_name,asset_unit_type,asset_unit_count,asset_unit_cost,asset_parameter_type,asset_details_raw,asset_loc_code,asset_loc_unit_code,asset_loc_unit_type,asset_loc_unit_count,asset_loc_unit_cost_total,asset_loc_overflow_json
82863014,,,,,2.0,462.0,1375.0,A,,2.0,1.0,100000.0,791.0,,380882.0,,,1.0,,
82863341,,,,,2.0,462.0,1375.0,A,,2.0,1.0,100000.0,791.0,,380882.0,,,1.0,,
82863764,,,,,2.0,462.0,1359.0,A,,2.0,1.0,100000.0,806.0,,380882.0,,,1.0,,
82865214,,,,,2.0,462.0,1362.0,A,,2.0,1.0,100000.0,809.0,,380882.0,,,1.0,,
99170258,,,,,,,,,,,,,,,,,,,,
127245884,,,,,2.0,454.0,1301.0,A,,2.0,1.0,51574.0,748.0,,380882.0,,,1.0,,
128340982,,,,,1.0,41.0,1102.0,A,,2.0,1.0,10000.0,406.0,,380882.0,,,1.0,,
81809079,63.0,63.0,2.0,1.0,2.0,63.0,63.0,A,,2.0,1.0,593542.0,,,380882.0,,,1.0,,
81954553,,,,,1.0,463.0,1350.0,A,,2.0,1.0,128724.0,797.0,,380882.0,,,1.0,,
81955225,77.0,59.0,2.0,1.0,2.0,77.0,59.0,A,,2.0,1.0,404432.0,,,380882.0,,,1.0,,
81957492,462.0,1375.0,2.0,1.0,2.0,462.0,1375.0,A,,2.0,1.0,48000.0,,,380882.0,,,1.0,,
82688276,,,,,2.0,451.0,1281.0,A,,2.0,1.0,66000.0,728.0,,380882.0,,,1.0,,
82753880,,,,,2.0,454.0,1300.0,A,,2.0,1.0,100000.0,747.0,,380882.0,,,1.0,,
82755183,,,,,2.0,457.0,1316.0,A,,2.0,1.0,10000.0,763.0,,380882.0,,,1.0,,
82758183,462.0,1375.0,2.0,1.0,2.0,462.0,1375.0,A,,2.0,1.0,280000.0,,,380882.0,,,1.0,,
127245789,462.0,1345.0,2.0,1.0,2.0,462.0,1345.0,A,,2.0,1.0,50000.0,,,380882.0,,,1.0,,
128251100,,,,,2.0,454.0,1301.0,A,,2.0,1.0,100000.0,748.0,,380882.0,,,1.0,,
128340688,,,,,1.0,41.0,1102.0,A,,2.0,1.0,80000.0,406.0,,380882.0,,,1.0,,
81956350,,,,,,,,,,,,,,,,,,,,
82716369,,,,,2.0,454.0,1301.0,A,,2.0,1.0,51574.0,748.0,,380882.0,,,1.0,,
82753455,,,,,2.0,454.0,1300.0,A,,2.0,1.0,100000.0,747.0,,380882.0,,,1.0,,
128251061,,,,,1.0,41.0,1102.0,A,,2.0,1.0,80000.0,406.0,,380882.0,,,1.0,,
98422720,77.0,1380.0,2.0,1.0,,,,,,,,,,,,,,,,
98425797,,,,,,,,,,,,,,,,,,,,
98430111,,,,,,,,,,,,,,,,,,,,
98709086,,,,,,,,,,,,,,,,,,,,
98709782,,,,,,,,,,,,,,,,,,,,
98711268,104.0,53.0,2.0,1.0,,,,,,,,,,,,,,,,
98712559,,,,,,,,,,,,,,,,,,,,
98713514,,,,,,,,,,,,,,,,,,,,
98714237,4.0,64.0,2.0,1.0,,,,,,,,,,,,,,,,
98821199,,,,,,,,,,,,,,,,,,,,
98862927,,,,,,,,,,,,,,,,,,,,
98867753,,,,,,,,,,,,,,,,,,,,
98868735,,,,,,,,,,,,,,,,,,,,
98877149,,,,,,,,,,,,,,,,,,,,
98907959,,,,,,,,,,,,,,,,,,,,
98908373,,,,,,,,,,,,,,,,,,,,
98908854,,,,,,,,,,,,,,,,,,,,
98928593,,,,,,,,,,,,,,,,,,,,
98928912,,,,,,,,,,,,,,,,,,,,
98960870,,,,,,,,,,,,,,,,,,,,
98961370,,,,,,,,,,,,,,,,,,,,
98961695,,,,,,,,,,,,,,,,,,,,
98962460,,,,,,,,,,,,,,,,,,,,
98999190,,,,,,,,,,,,,,,,,,,,
99000124,,,,,,,,,,,,,,,,,,,,
99000859,,,,,,,,,,,,,,,,,,,,
99003684,,,,,,,,,,,,,,,,,,,,
99047624,,,,,,,,,,,,,,,,,,,,
99048588,,,,,,,,,,,,,,,,,,,,
99091690,,,,,,,,,,,,,,,,,,,,
99091819,,,,,,,,,,,,,,,,,,,,
99092203,,,,,,,,,,,,,,,,,,,,
99092469,,,,,,,,,,,,,,,,,,,,
99092851,,,,,,,,,,,,,,,,,,,,
99093066,,,,,,,,,,,,,,,,,,,,
99093182,,,,,,,,,,,,,,,,,,,,
99093383,,,,,,,,,,,,,,,,,,,,
99093559,,,,,,,,,,,,,,,,,,,,
99093727,,,,,,,,,,,,,,,,,,,,
99094346,,,,,,,,,,,,,,,,,,,,
99100599,,,,,,,,,,,,,,,,,,,,
99101094,,,,,,,,,,,,,,,,,,,,
99101505,,,,,,,,,,,,,,,,,,,,
99101653,,,,,,,,,,,,,,,,,,,,
99101797,,,,,,,,,,,,,,,,,,,,
99102108,,,,,,,,,,,,,,,,,,,,
99102280,,,,,,,,,,,,,,,,,,,,
99102767,,,,,,,,,,,,,,,,,,,,
99103410,,,,,,,,,,,,,,,,,,,,
99103562,,,,,,,,,,,,,,,,,,,,
99103744,,,,,,,,,,,,,,,,,,,,
99104582,,,,,,,,,,,,,,,,,,,,
99114129,,,,,,,,,,,,,,,,,,,,
99114350,,,,,,,,,,,,,,,,,,,,
99114616,,,,,,,,,,,,,,,,,,,,
99114858,,,,,,,,,,,,,,,,,,,,
99115123,,,,,,,,,,,,,,,,,,,,
99117034,,,,,,,,,,,,,,,,,,,,
99117043,,,,,,,,,,,,,,,,,,,,
99117399,,,,,,,,,,,,,,,,,,,,
99117448,,,,,,,,,,,,,,,,,,,,
99117836,,,,,,,,,,,,,,,,,,,,
99118546,,,,,,,,,,,,,,,,,,,,
99118774,,,,,,,,,,,,,,,,,,,,
99119062,,,,,,,,,,,,,,,,,,,,
99119264,,,,,,,,,,,,,,,,,,,,
99119487,,,,,,,,,,,,,,,,,,,,
99123094,,,,,,,,,,,,,,,,,,,,
99123602,,,,,,,,,,,,,,,,,,,,
99123643,,,,,,,,,,,,,,,,,,,,
99124178,,,,,,,,,,,,,,,,,,,,
99124607,,,,,,,,,,,,,,,,,,,,
99126974,,,,,,,,,,,,,,,,,,,,
99127279,,,,,,,,,,,,,,,,,,,,
99127497,,,,,,,,,,,,,,,,,,,,
99129574,,,,,,,,,,,,,,,,,,,,
99129919,,,,,,,,,,,,,,,,,,,,
99130444,,,,,,,,,,,,,,,,,,,,
99130651,,,,,,,,,,,,,,,,,,,,
99130848,,,,,,,,,,,,,,,,,,,,
99130880,,,,,,,,,,,,,,,,,,,,
99131172,,,,,,,,,,,,,,,,,,,,
99131233,,,,,,,,,,,,,,,,,,,,
99131586,,,,,,,,,,,,,,,,,,,,
99132114,,,,,,,,,,,,,,,,,,,,
99132163,,,,,,,,,,,,,,,,,,,,
99132389,,,,,,,,,,,,,,,,,,,,
99132745,,,,,,,,,,,,,,,,,,,,
99133081,,,,,,,,,,,,,,,,,,,,
99134131,,,,,,,,,,,,,,,,,,,,
99134395,,,,,,,,,,,,,,,,,,,,
99134687,,,,,,,,,,,,,,,,,,,,
99134957,,,,,,,,,,,,,,,,,,,,
99136943,,,,,,,,,,,,,,,,,,,,
99137203,,,,,,,,,,,,,,,,,,,,
99137546,,,,,,,,,,,,,,,,,,,,
99137881,,,,,,,,,,,,,,,,,,,,
99138141,,,,,,,,,,,,,,,,,,,,
99138474,,,,,,,,,,,,,,,,,,,,
99138729,,,,,,,,,,,,,,,,,,,,
99139067,,,,,,,,,,,,,,,,,,,,
99139244,,,,,,,,,,,,,,,,,,,,
