activity_code,fund_scheme_code,fund_component_code,fund_tied_general,fund_tied_sc,fund_tied_st,fund_untied_general,fund_untied_sc,fund_untied_st,fund_amount_total,fund_tied_abandoned_general,fund_tied_abandoned_sc,fund_tied_abandoned_st,fund_untied_abandoned_general,fund_untied_abandoned_sc,fund_untied_abandoned_st,fund_overflow_json
82863450,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82863793,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82864270,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82868387,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82868703,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82868707,38.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82869273,,,,,,,,,,,,,,,,
82870300,,,,,,,,,,,,,,,,
82870795,,,,,,,,,,,,,,,,
82871088,,,,,,,,,,,,,,,,
82871846,,,,,,,,,,,,,,,,
82872650,,,,,,,,,,,,,,,,
82874736,,,,,,,,,,,,,,,,
82875375,,,,,,,,,,,,,,,,
82877377,,,,,,,,,,,,,,,,
82878026,,,,,,,,,,,,,,,,
82879194,,,,,,,,,,,,,,,,
82880973,,,,,,,,,,,,,,,,
82887247,,,,,,,,,,,,,,,,
82889664,,,,,,,,,,,,,,,,
82890529,,,,,,,,,,,,,,,,
82901568,1769.0,4211.0,0.0,0.0,0.0,20300.0,0.0,0.0,20300.0,,,,,,,
82933555,1769.0,4249.0,6500.0,0.0,0.0,0.0,0.0,0.0,6500.0,,,,,,,
82934525,1769.0,4249.0,42560.0,0.0,0.0,0.0,0.0,0.0,42560.0,,,,,,,
82942628,,,,,,,,,,,,,,,,
82943031,,,,,,,,,,,,,,,,
82943598,,,,,,,,,,,,,,,,
82944155,,,,,,,,,,,,,,,,
