activity_code,is_delegated,delegated_unit_code,delegated_unit_type,delegated_unit_level,delegated_unit_category,is_shareable,delegated_parent_unit_code
119568946,,,,,,False,
119569165,,,,,,False,
119569399,,,,,,False,
119583960,,,,,,False,
119583984,,,,,,False,
119583997,,,,,,False,
119584006,,,,,,False,
119584044,,,,,,False,
119584070,,,,,,False,
119584088,,,,,,False,
119584098,,,,,,False,
119584117,,,,,,False,
119584133,,,,,,False,
119584154,,,,,,False,
119584162,,,,,,False,
119584168,,,,,,False,
119584181,,,,,,False,
119584188,,,,,,False,
120386265,,,,,,False,
120386319,,,,,,False,
120386748,,,,,,False,
120386777,,,,,,False,
120387060,,,,,,False,
120387109,,,,,,False,
120720939,,,,,,False,
120721071,,,,,,False,
120721179,,,,,,False,
120721595,,,,,,False,
120721909,,,,,,False,
120722017,,,,,,False,
120722835,,,,,,False,
120723046,,,,,,False,
120723667,,,,,,False,
120723785,,,,,,False,
120724102,,,,,,False,
120724227,,,,,,False,
120724421,,,,,,False,
121271632,,,,,,False,
121271646,,,,,,False,
121271655,,,,,,False,
121271672,,,,,,False,
121272792,,,,,,False,
121272834,,,,,,False,
121273214,,,,,,False,
121273258,,,,,,False,
121273310,,,,,,False,
121273434,,,,,,False,
121273502,,,,,,False,
121273533,,,,,,False,
121273572,,,,,,False,
121273603,,,,,,False,
121273640,,,,,,False,
121273673,,,,,,False,
121273703,,,,,,False,
121273739,,,,,,False,
121273796,,,,,,False,
121354878,,,,,,False,
121462383,,,,,,False,
121462688,,,,,,False,
121462884,,,,,,False,
121463059,,,,,,False,
121463253,,,,,,False,
121463452,,,,,,False,
121463644,,,,,,False,
121463811,,,,,,False,
121466578,,,,,,False,
121466765,,,,,,False,
121466987,,,,,,False,
121467166,,,,,,False,
121475974,,,,,,False,
121476138,,,,,,False,
121476349,,,,,,False,
121476531,,,,,,False,
121476699,,,,,,False,
121477030,,,,,,False,
121477219,,,,,,False,
121477395,,,,,,False,
121477581,,,,,,False,
121477744,,,,,,False,
121478042,,,,,,False,
121478233,,,,,,False,
121478502,,,,,,False,
121478706,,,,,,False,
121478881,,,,,,False,
121479069,,,,,,False,
121479310,,,,,,False,
122215550,,,,,,False,
122216579,,,,,,False,
122217944,,,,,,False,
122218511,,,,,,False,
122218795,,,,,,False,
122218966,,,,,,False,
122224954,,,,,,False,
122225397,,,,,,False,
122225876,,,,,,False,
122228522,,,,,,False,
122228761,,,,,,False,
122228876,,,,,,False,
122230024,,,,,,False,
122230126,,,,,,False,
122230446,,,,,,False,
122230575,,,,,,False,
122241525,,,,,,False,
122241625,,,,,,False,
122242097,,,,,,False,
122242381,,,,,,False,
122242676,,,,,,False,
122242768,,,,,,False,
122242914,,,,,,False,
122243030,,,,,,False,
127245361,,,,,,False,
128056993,,,,,,False,
122214980,,,,,,False,
122215204,,,,,,False,
122215410,,,,,,False,
122216772,,,,,,False,
122216991,,,,,,False,
122217691,,,,,,False,
122224718,,,,,,False,
122229535,,,,,,False,
122229651,,,,,,False,
122229799,,,,,,False,
122240109,,,,,,False,
127245330,,,,,,False,
128056968,,,,,,False,
122225160,,,,,,False,
122229161,,,,,,False,
44377691,,,,,,,
44378384,,,,,,,
46842718,,,,,,,
46861757,,,,,,,
46863243,,,,,,,
48283445,,,,,,,
44376521,,,,,,,
44377200,,,,,,,
44377555,,,,,,,
44378252,,,,,,,
46843604,,,,,,,
46851012,,,,,,,
46860396,,,,,,,
46860964,,,,,,,
46861339,,,,,,,
48281117,,,,,,,
48281283,,,,,,,
48281425,,,,,,,
44376713,,,,,,,
44376908,,,,,,,
44377348,,,,,,,
44377837,,,,,,,
44377958,,,,,,,
44378080,,,,,,,
44378515,,,,,,,
44378637,,,,,,,
44378727,,,,,,,
44378905,,,,,,,
48612920,,,,,,,
55735899,,,,,,,
55735975,,,,,,,
55736083,,,,,,,
55736204,,,,,,,
55736283,,,,,,,
55736361,,,,,,,
55736700,,,,,,,
55736812,,,,,,,
55736870,,,,,,,
55737761,,,,,,,
48584673,,,,,,,
48587836,,,,,,,
48588115,,,,,,,
48588415,,,,,,,
48588888,,,,,,,
48589178,,,,,,,
48589482,,,,,,,
55600860,,,,,,,
55601248,,,,,,,
48584377,,,,,,,
48584943,,,,,,,
48585211,,,,,,,
48585464,,,,,,,
48586944,,,,,,,
48587198,,,,,,,
48587405,,,,,,,
48587616,,,,,,,
65503145,,,,,,False,
65503237,,,,,,False,
65503444,,,,,,False,
65503546,,,,,,False,
65503646,,,,,,False,
65503808,,,,,,False,
65503898,,,,,,False,
65504538,,,,,,False,
61742558,,,,,,,
61742451,,,,,,,
61742455,,,,,,,
61742460,,,,,,,
61742469,,,,,,,
61742479,,,,,,,
61742490,,,,,,,
61742509,,,,,,,
61742520,,,,,,,
61742552,,,,,,,
61742562,,,,,,,
61742577,,,,,,,
61742586,,,,,,,
65502394,,,,,,False,
65502685,,,,,,False,
65502816,,,,,,False,
65503385,,,,,,False,
65503722,,,,,,False,
61742441,,,,,,,
61742503,,,,,,,
61742531,,,,,,,
61742539,,,,,,,
61742543,,,,,,,
61742592,,,,,,,
74908673,,,,,,False,
74909779,,,,,,False,
74910897,,,,,,False,
74912858,,,,,,False,
74913878,,,,,,False,
74915636,,,,,,False,
74916405,,,,,,False,
74917288,,,,,,False,
74919976,,,,,,False,
74922244,,,,,,False,
74924150,,,,,,False,
74925669,,,,,,False,
74926596,,,,,,False,
75325509,,,,,,False,
75327699,,,,,,False,
75328294,,,,,,False,
75329745,,,,,,False,
75332917,,,,,,False,
75334248,,,,,,False,
75334997,,,,,,False,
75673570,,,,,,False,
76852959,,,,,,False,
76855353,,,,,,False,
76857403,,,,,,False,
76860268,,,,,,False,
76861992,,,,,,False,
76863887,,,,,,False,
76870655,,,,,,False,
76872356,,,,,,False,
76873714,,,,,,False,
76874653,,,,,,False,
76875619,,,,,,False,
76876274,,,,,,False,
76877099,,,,,,False,
76877938,,,,,,False,
76878581,,,,,,False,
76879500,,,,,,False,
76880414,,,,,,False,
76882666,,,,,,False,
76887775,,,,,,False,
76888547,,,,,,False,
76965639,,,,,,False,
76966475,,,,,,False,
76966859,,,,,,False,
76968711,,,,,,False,
76969044,,,,,,False,
76969897,,,,,,False,
76970105,,,,,,False,
76972230,,,,,,False,
76975345,,,,,,False,
76976023,,,,,,False,
76976449,,,,,,False,
76976664,,,,,,False,
