activity_code,community_service_raw,community_service_code,community_service_duration,community_beneficiaries_expected
65503722,,,,
61742441,,,,
61742503,,,,
61742531,,,,
61742539,,,,
61742543,,,,
61742592,,,,
74908673,,,,
74909779,,,,
74910897,,,,
74912858,,,,
74913878,,,,
74915636,,,,
74916405,,,,
74917288,,,,
74919976,,,,
74922244,,,,
74924150,,,,
74925669,,,,
74926596,,,,
75325509,,,,
75327699,,,,
75328294,,,,
75329745,,,,
75332917,,,,
75334248,,,,
75334997,,,,
75673570,,,,
76852959,,,,
76855353,,,,
76857403,,,,
76860268,,,,
76861992,,,,
76863887,,,,
76870655,,,,
76872356,,,,
76873714,,,,
76874653,,,,
76875619,,,,
76876274,,,,
76877099,,,,
76877938,,,,
76878581,,,,
76879500,,,,
76880414,,,,
76882666,,,,
76887775,,,,
76888547,,,,
76965639,,,,
76966475,,,,
76966859,,,,
76968711,,,,
76969044,,,,
76969897,,,,
76970105,,,,
76972230,,,,
76975345,,,,
76976023,,,,
76976449,,,,
76976664,,,,
77267031,,,,
77275560,,,,
77276752,,,,
77278142,,,,
77278423,,,,
77279910,,,,
77280263,,,,
77280739,,,,
78491116,,,,
78491476,,,,
78491998,,,,
78492333,,,,
78492814,,,,
78493897,,,,
78494126,,,,
78494502,,,,
78495236,,,,
78495596,,,,
78496071,,,,
78496458,,,,
78496705,,,,
78497072,,,,
78497365,,,,
78497945,,,,
78498113,,,,
78498439,,,,
78498722,,,,
78499068,,,,
78499277,,,,
78499712,,,,
78500014,,657.0,1.0,1000.0
78500161,,657.0,1.0,1000.0
78500556,,657.0,1.0,1000.0
80029130,,,,
80029215,,,,
80029295,,,,
80029373,,,,
80029450,,,,
80029521,,,,
80029599,,,,
80029705,,,,
80029763,,,,
80029851,,,,
80031828,,,,
80032043,,,,
80032155,,,,
80032278,,,,
80032460,,,,
80032683,,,,
80032770,,,,
80032875,,,,
80032978,,,,
80033118,,,,
80033273,,,,
80033382,,,,
80033493,,,,
80033581,,,,
80033964,,,,
80034110,,,,
80034230,,,,
80034351,,,,
80034472,,,,
80034601,,,,
80034782,,,,
80034899,,,,
80035027,,,,
80035169,,,,
80035309,,,,
80035573,,,,
80035696,,,,
80036583,,,,
80036725,,,,
80036858,,,,
80037138,,,,
80037280,,,,
80037394,,,,
80037562,,,,
80037707,,,,
80037816,,,,
80037937,,,,
80038053,,,,
80038175,,,,
80038292,,,,
80038923,,,,
80039042,,,,
80039247,,,,
80039350,,,,
80039631,,,,
80039796,,,,
80040296,,,,
80040602,,,,
80040857,,,,
80041149,,,,
80041298,,,,
80041520,,,,
80041773,,,,
80041901,,,,
80042050,,,,
80042363,,657.0,1.0,1.0
80042571,,,,
80042777,,,,
80043019,,,,
80043322,,,,
80043486,,,,
80043848,,,,
80044000,,,,
80044147,,,,
80044297,,,,
82332452,,,,
82422062,,,,
82422723,,,,
82423431,,,,
82426542,,,,
82634808,,,,
82635873,,,,
82635957,,,,
82636079,,,,
82636157,,,,
82636304,,,,
82636440,,,,
82637087,,,,
82637301,,,,
82637472,,,,
82638384,,,,
82659842,,,,
82660108,,,,
82660418,,,,
82660853,,,,
82661167,,,,
82661663,,,,
82662136,,,,
82662474,,,,
82662776,,,,
82663413,,,,
82663835,,,,
82664463,,,,
82665665,,,,
82665984,,,,
82666890,,,,
82667203,,,,
82667552,,,,
82673809,,,,
82677145,,,,
82677973,,,,
82678656,,,,
82678967,,,,
82685815,,,,
82687519,,,,
82326947,,,,
82329217,,,,
82330506,,,,
82331651,,,,
82333030,,,,
82334659,,,,
82335953,,,,
82420634,,,,
82420944,,,,
82421319,,,,
82421627,,,,
82424820,,,,
82425252,,,,
82478543,,,,
82669742,,,,
82670995,,,,
82690608,,,,
98522195,,657.0,1.0,175.0
98523402,,657.0,12.0,1750.0
98524117,,657.0,12.0,2250.0
98601893,,,,
98602531,,,,
98652970,,,,
98653285,,,,
98653541,,,,
98654085,,,,
98654551,,,,
98657681,,,,
98657983,,,,
98658397,,,,
98659153,,,,
98659482,,,,
98660313,,,,
98660600,,,,
98660983,,,,
98661496,,,,
98663047,,657.0,1.0,500.0
98663463,,,,
98663674,,657.0,1.0,500.0
98663908,,,,
98664348,,,,
98664539,,,,
98665231,,657.0,2.0,500.0
98757856,,,,
98758406,,,,
98759287,,,,
98759763,,,,
98800437,,,,
98800979,,,,
98801289,,,,
98801766,,,,
98802030,,,,
98802943,,,,
98803234,,,,
98804078,,,,
98804580,,657.0,200.0,1.0
98947339,,657.0,100.0,1.0
98947848,,,,
98948013,,,,
98948791,,,,
98948905,,,,
98949031,,,,
98949375,,,,
98950127,,,,
98951156,,,,
98951302,,,,
98951481,,,,
98951607,,,,
98951926,,,,
98952100,,,,
98952323,,,,
98952531,,,,
98952648,,,,
98953131,,,,
98953313,,,,
98953474,,,,
98953602,,,,
98954388,,,,
98954536,,,,
98954756,,,,
98954940,,,,
98955089,,,,
98956498,,,,
98956806,,,,
99330791,,,,
99331109,,,,
99331361,,,,
99331520,,,,
99331689,,,,
99331961,,,,
99332165,,,,
99332822,,,,
99333216,,,,
99333426,,,,
99333644,,,,
99333739,,,,
99333837,,,,
99334088,,,,
99334366,,,,
99334600,,,,
99334776,,,,
99334950,,,,
99335101,,,,
99335331,,,,
99335587,,,,
99335882,,,,
99335991,,,,
99336103,,,,
99336175,,,,
99336371,,,,
99336499,,,,
100115549,,,,
100116135,,,,
100116408,,,,
100116693,,,,
100116891,,,,
100117305,,,,
100117839,,,,
100118098,,,,
100118323,,,,
100119311,,,,
100119763,,,,
100119905,,,,
100120140,,,,
100120374,,,,
100120755,,,,
100163520,,,,
100164041,,,,
100170841,,,,
100171409,,,,
100171821,,,,
100172208,,,,
100173212,,,,
100173817,,,,
100174612,,,,
100175354,,,,
100176959,,,,
100309951,,,,
100310313,,,,
100310755,,,,
100310961,,,,
100311204,,,,
100311443,,,,
100311445,,,,
100311447,,,,
100311709,,,,
100312505,,,,
100312766,,,,
100313073,,,,
100313346,,,,
100313641,,,,
100313875,,,,
100314203,,,,
100314440,,,,
100314718,,,,
100314988,,,,
100315316,,,,
100319389,,,,
100319916,,,,
100320509,,,,
100322111,,,,
100322361,,,,
100322615,,,,
100322756,,,,
100322997,,,,
100323161,,,,
100323366,,,,
100323555,,,,
100323845,,,,
100324037,,,,
100324270,,,,
100324465,,,,
100324714,,,,
100355832,,,,
100355983,,,,
100356132,,,,
100356314,,,,
100356540,,,,
100356706,,,,
100356945,,,,
100357113,,,,
100357371,,,,
100357549,,,,
100357735,,,,
100357902,,,,
100358310,,,,
100358540,,,,
100358735,,,,
100358990,,,,
100359202,,,,
100359556,,,,
100359897,,,,
100360547,,,,
100413369,,,,
100413611,,,,
100413792,,,,
100413934,,,,
100414572,,,,
100414823,,,,
100415037,,,,
100415228,,,,
100415381,,,,
100424345,,,,
100424507,,,,
100424683,,,,
100424907,,,,
100425111,,,,
100425290,,,,
100425579,,,,
100425753,,,,
100425951,,,,
105368210,,,,
105368400,,,,
105368709,,,,
105368882,,,,
105373361,,,,
105378390,,,,
105379069,,,,
105379451,,,,
105379566,,,,
105379593,,657.0,1.0,75.0
105379623,,657.0,1.0,75.0
105379657,,657.0,1.0,75.0
105379679,,657.0,1.0,100.0
105379713,,,,
105379811,,,,
105379836,,657.0,1.0,75.0
128557871,,,,
128557902,,,,
105366995,,,,
105366790,,,,
105368013,,,,
105370526,,,,
105374258,,,,
105374436,,,,
105374771,,,,
105375002,,,,
105375198,,,,
105375738,,,,
105385109,,,,
105387475,,,,
105390630,,,,
105391951,,,,
105369525,,,,
114512053,,,,
116656179,,657.0,6.0,100.0
116656838,,657.0,6.0,100.0
116657368,,657.0,6.0,100.0
116658234,,657.0,6.0,30.0
116658893,,,,
116660018,,,,
116660407,,,,
116661762,,657.0,6.0,100.0
116663033,,,,
116858027,,657.0,6.0,20.0
116901223,,,,
116903091,,,,
116904716,,657.0,6.0,36.0
116905388,,657.0,6.0,30.0
116905979,,,,
116907020,,657.0,20.0,20.0
116907736,,,,
116911401,,659.0,60.0,20.0
116912408,,,,
116916393,,,,
116917316,,,,
116917805,,,,
116918473,,657.0,6.0,20.0
116920485,,,,
116920877,,,,
116922300,,657.0,6.0,50.0
